1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2005;962;605;357;103;62;41;19;15;4;19;16;3;414;314;100;407;198;209;821;512;309;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2006;996;592;404;98;53;45;49;26;23;19;11;8;403;305;98;427;197;230;830;502;328;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2007;1,011;582;429;86;48;38;25;17;8;20;14;6;442;311;131;438;192;246;880;503;377;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2008;917;530;387;86;50;36;16;10;6;10;6;4;378;275;103;427;189;238;805;464;341;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2009;974;572;402;76;50;26;33;15;18;16;11;5;409;294;115;440;202;238;849;496;353;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2010;937;558;379;106;60;46;17;14;3;13;11;2;364;260;104;437;213;224;801;473;328;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2011;852;484;368;73;43;30;14;9;5;11;6;5;316;224;92;438;202;236;754;426;328;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2012;870;527;343;77;46;31;15;14;1;21;19;2;338;247;91;419;201;218;757;448;309;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2013;820;478;342;87;60;27;18;13;5;9;7;2;309;220;89;397;178;219;706;398;308;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2014;743;438;305;45;24;21;13;10;3;16;9;7;301;210;91;368;185;183;669;395;274;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2015;804;469;335;68;37;31;9;6;3;15;11;4;314;221;93;398;194;204;712;415;297;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2016;727;430;297;65;44;21;15;10;5;9;6;3;271;207;64;367;163;204;638;370;268;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2017;874;553;321;76;49;27;16;16;0;21;18;3;384;295;89;377;175;202;761;470;291;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2018;704;415;289;66;43;23;9;7;2;13;9;4;246;174;72;370;182;188;616;356;260;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2019;707;405;302;66;42;24;8;4;4;14;5;9;245;168;77;374;186;188;619;354;265;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2020;829;482;347;73;44;29;8;5;3;15;11;4;276;207;69;457;215;242;733;422;311;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2021;815;475;340;62;34;28;9;5;4;8;6;2;241;174;67;495;256;239;736;430;306;356282
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2022;777;448;329;50;33;17;8;4;4;14;7;7;241;180;61;464;224;240;705;404;301;356282
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2000;15,192;1,191;14,001;1,950;398;1,552;4,143;395;3,748;2,000;134;1,866;6,852;259;6,593;247;5;242;7,099;264;6,835;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2001;15,807;1,189;14,618;2,004;399;1,605;4,486;380;4,106;2,112;130;1,982;6,971;272;6,699;234;8;226;7,205;280;6,925;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2002;17,363;1,220;16,143;1,925;350;1,575;5,110;434;4,676;2,404;141;2,263;7,691;285;7,406;233;10;223;7,924;295;7,629;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2003;17,682;1,351;16,331;1,800;360;1,440;5,278;471;4,807;2,483;143;2,340;7,885;358;7,527;236;19;217;8,121;377;7,744;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2004;17,906;1,384;16,522;1,845;353;1,492;5,329;452;4,877;2,460;156;2,304;8,019;408;7,611;253;15;238;8,272;423;7,849;
