1;2;3;7;8;9;10;11
Schluessel;Straftat;Anzahl erfasste Faelle;Tatortverteilung bis unter 20000 Einwohner - Anteil in %;Tatortverteilung 20000 bis unter 100000 Einwohner - Anteil in %;Tatortverteilung 100000 bis unter 500000 Einwohner - Anteil in %;Tatortverteilung 500000 und mehr Einwohner - Anteil in %;Tatortverteilung unbekannt - Anteil in %
;;Einwohner am 31.12.2019;;;;;
;;in %;;;;;
143010;Sonstige Verbreitung pornografischer Inhalte (Erzeugnisse) § 184 StGB;2,737;25.1;25.3;15;23.5;11.1
143020;Verbreitung gewalt- oder tierpornografischer Inhalte § 184a StGB;408;42.6;26.7;11.5;10.8;8.3
143040;Veranstaltung und Besuch kinder- und jugendpornografischer Darbietungen § 184e StGB;2;50;0;0;0;50
143100;Verbreitung pornografischer Inhalte (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;2,220;39.6;28;10.6;10.7;11.1
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB;42,075;34.6;28.8;15.3;14.4;6.9
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB;23,335;34;27.4;16;16.4;6.2
143211;Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB;19,742;33.5;28.4;16.2;14.9;7
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;2,824;36.5;21.3;14.1;26.5;1.6
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;334;35.3;26.3;15.6;21;1.8
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;435;37.2;26.4;18.4;15.6;2.3
143220;Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;62;16.1;46.8;17.7;11.3;8.1
143230;Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB;18,678;35.5;30.4;14.5;11.9;7.8
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB;6,746;37.7;26.6;13.1;12.8;9.8
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB;3,512;38.2;28.1;13.8;14.1;5.9
143511;Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB;2,728;37.8;28.6;13.8;13.2;6.7
143512;Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB;411;39.9;21.7;14.4;21.4;2.7
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB;181;42.5;33.1;9.9;11.6;2.8
143514;Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB;192;35.4;30.2;16.7;13.5;4.2
143520;Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;24;25;29.2;25;8.3;12.5
143530;Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB;3,210;37.3;25;12.2;11.4;14.1
145000;Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;877;20.9;32.5;18;21.7;7
146000;Inverkehrbringen, Erwerb und Besitz von Sexpuppen mit kindlichem Erscheinungsbild § 184l StGB;32;34.4;25;25;12.5;3.1
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;867,699;25.2;29;20.1;25.2;0.5
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;38,195;11.6;24.4;24.8;39.1;0.1
210010;Sonstiger Raub § 249 StGB;3,572;13.3;27.2;28.4;30.8;0.2
210020;Sonstiger schwerer Raub § 250 StGB;1,047;13.6;26.3;25.6;34.1;0.5
210030;Sonstiger Raub mit Todesfolge § 251 StGB;0;-;-;-;-;-
210040;Räuberischer Diebstahl § 252 StGB;8,917;12.3;28.6;26.5;32.6;0
210050;Sonstige räuberische Erpressung § 255 StGB;2,794;18.5;27.5;23.8;29.6;0.5
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;73;32.9;34.2;20.5;12.3;0
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);42;38.1;21.4;23.8;16.7;0
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;3;33.3;0;66.7;0;0
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;13;23.1;7.7;38.5;30.8;0
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0;-;-;-;-;-
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;26;46.2;30.8;11.5;11.5;0
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;31;25.8;51.6;16.1;6.5;0
211210;Raub auf Postfilialen und -agenturen § 249 StGB;3;33.3;33.3;33.3;0;0
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;15;20;53.3;20;6.7;0
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0;-;-;-;-;-
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;13;30.8;53.8;7.7;7.7;0
212000;Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;2,012;15.7;29;22.7;32.6;0
212010;Raub auf sonstige Kassenräume oder Geschäfte § 249 StGB;142;15.5;24.6;19;40.8;0
212020;Schwerer Raub auf sonstige Kassenräume oder Geschäfte § 250 StGB;607;9.2;26.5;24.1;40.2;0
212030;Raub mit Todesfolge auf sonstige Kassenräume oder Geschäfte § 251 StGB;0;-;-;-;-;-
212050;Räuberische Erpressung gegen sonstige Kassenräume oder Geschäfte § 255 StGB;420;14.8;27.9;21;36.4;0
212100;Raub, räuberische Erpressung auf/gegen Spielhallen;215;15.8;34.9;28.8;20.5;0
212110;Raub auf Spielhallen § 249 StGB;14;14.3;50;28.6;7.1;0
212120;Schwerer Raub auf Spielhallen § 250 StGB;121;17.4;27.3;28.1;27.3;0
212130;Raub mit Todesfolge auf Spielhallen § 251 StGB;0;-;-;-;-;-
212150;Räuberische Erpressung gegen Spielhallen § 255 StGB;80;13.8;43.8;30;12.5;0
212200;Raub, räuberische Erpressung auf/gegen Tankstellen;628;22.6;31.2;21.2;25;0
212210;Raub auf Tankstellen § 249 StGB;44;34.1;27.3;15.9;22.7;0
212220;Schwerer Raub auf Tankstellen § 250 StGB;372;20.2;29.3;20.4;30.1;0
212230;Raub mit Todesfolge auf Tankstellen § 251 StGB;0;-;-;-;-;-
212250;Räuberische Erpressung gegen Tankstellen § 255 StGB;212;24.5;35.4;23.6;16.5;0
213000;Raub, räuberische Erpressung auf/gegen Geld- und Werttransporte;25;20;28;12;40;0
213100;Raub, räuberische Erpressung auf/gegen Geld- und Kassenboten;25;20;28;12;40;0
213110;Raub auf Geld- und Kassenboten § 249 StGB;5;0;60;20;20;0
213120;Schwerer Raub auf Geld- und Kassenboten § 250 StGB;17;23.5;23.5;11.8;41.2;0
213130;Raub mit Todesfolge auf Geld- und Kassenboten § 251 StGB;0;-;-;-;-;-
213150;Räuberische Erpressung gegen Geld- und Kassenboten § 255 StGB;3;33.3;0;0;66.7;0
213200;Raub, räuberische Erpressung auf/gegen Spezialgeldtransportfahrzeuge;0;-;-;-;-;-
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;0;-;-;-;-;-
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;0;-;-;-;-;-
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0;-;-;-;-;-
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0;-;-;-;-;-
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB;128;15.6;22.7;18.8;43;0
214079;Räuberischer Angriff auf sonstige Kraftfahrer;81;22.2;23.5;23.5;30.9;0
214100;Beraubung von Taxifahrern;47;4.3;21.3;10.6;63.8;0
216000;Handtaschenraub;1,060;8.8;24.2;20;46.9;0.1
216010;Handtaschenraub § 249 StGB;922;9.4;24.5;20;46;0.1
216020;Handtaschenraub § 250 StGB;112;4.5;23.2;20.5;51.8;0
216030;Handtaschenraub mit Todesfolge § 251 StGB;1;0;100;0;0;0
216050;Räuberische Erpressung bei Handtaschenraub § 255 StGB;25;4;16;20;60;0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;16,160;8;19.4;24;48.5;0.1
217010;Sonstiger Raub auf Straßen, Wegen oder Plätzen § 249 StGB;9,143;7.3;19.2;24.7;48.5;0.2
217020;Sonstiger schwerer Raub auf Straßen, Wegen oder Plätzen § 250 StGB;3,249;6.3;19.1;23.5;51.1;0.1
217030;Sonstiger Raub mit Todesfolge auf Straßen, Wegen oder Plätzen § 251 StGB;2;50;0;0;50;0
217050;Sonstige räuberische Erpressung auf Straßen, Wegen oder Plätzen § 255 StGB;3,766;11;20;22.6;46.3;0.1
218000;Raub zur Erlangung von Betäubungsmitteln;119;26.9;34.5;18.5;20.2;0
218010;Raub zur Erlangung von Betäubungsmitteln § 249 StGB;43;18.6;39.5;20.9;20.9;0
218020;Schwerer Raub zur Erlangung von Betäubungsmitteln § 250 StGB;43;23.3;32.6;23.3;20.9;0
218030;Raub mit Todesfolge zur Erlangung von Betäubungsmitteln § 251 StGB;0;-;-;-;-;-
218050;Räuberische Erpressung zur Erlangung von Betäubungsmitteln § 255 StGB;33;42.4;30.3;9.1;18.2;0
219000;Raubüberfälle in Wohnungen;2,288;18.2;28.9;23.9;28.9;0.1
219010;Raub in Wohnungen § 249 StGB;1,066;16.7;27.1;26.2;29.9;0.1
219020;Schwerer Raub in Wohnungen § 250 StGB;632;19.1;29.9;22.5;28.3;0.2
219030;Raub mit Todesfolge in Wohnungen § 251 StGB;0;-;-;-;-;-
219050;Räuberische Erpressung in Wohnungen § 255 StGB;590;19.8;31.2;21.2;27.8;0
220000;Körperverletzung §§ 223-227, 229, 231 StGB;572,219;24.6;28.9;20.5;25.9;0.1
221000;Körperverletzung mit Todesfolge §§ 227, 231 StGB;103;21.4;35.9;26.2;16.5;0
221010;Körperverletzung mit Todesfolge § 227 StGB;101;21.8;34.7;26.7;16.8;0
221020;Beteiligung an einer Schlägerei mit Todesfolge § 231 StGB;2;0;100;0;0;0
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;144,663;21.2;27.9;21.6;29.2;0.1
222010;Sonstige Tatörtlichkeit bei gefährlicher Körperverletzung § 224 StGB;83,295;24.4;28.7;20.1;26.7;0.1
222020;Sonstige Tatörtlichkeit bei schwerer Körperverletzung § 226 StGB;307;28;35.5;13.4;22.1;1
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;20;5;25;45;25;0
222040;Verstümmelung weiblicher Genitalien § 226a StGB;2;0;50;0;0;50
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;61,039;16.8;26.7;23.8;32.6;0.1
222110;Gefährliche Körperverletzung § 224 StGB auf Straßen, Wegen oder Plätzen;60,857;16.8;26.7;23.8;32.6;0.1
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;157;26.1;23.6;19.1;31.2;0
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;25;20;56;12;12;0
223000;Misshandlung von Schutzbefohlenen § 225 StGB;4,811;33.1;28.3;15.7;22.2;0.7
223001;Misshandlung Schutzbefohlener ab 14 Jahren;1,295;34.9;27.5;14;22.9;0.7
223100;Misshandlung von Kindern;3,516;32.5;28.6;16.3;22;0.7
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;399,699;25;29.4;20.4;25.1;0.1
225000;Fahrlässige Körperverletzung § 229 StGB;22,943;37.6;27.6;15.2;19.5;0.1
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;257,285;28.4;29.8;18.7;21.7;1.5
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;1,710;26;26.8;20.8;25.2;1.2
231100;Menschenraub § 234 StGB;3;0;66.7;33.3;0;0
231200;Entziehung Minderjähriger § 235 StGB;1,696;26.1;26.7;20.8;25.2;1.2
231210;Entziehung Minderjähriger gegen Entgelt oder in Bereicherungsabsicht § 235 Abs. 4 Nr. 2 StGB;19;5.3;15.8;42.1;31.6;5.3
231279;Sonstige Entziehung Minderjähriger § 235 StGB;1,677;26.4;26.8;20.5;25.2;1.1
231300;Kinderhandel § 236 StGB;11;18.2;27.3;27.3;27.3;0
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;254,942;28.4;29.9;18.6;21.6;1.5
232100;Freiheitsberaubung § 239 StGB;4,808;23.5;31.6;21.2;23.4;0.2
232200;Nötigung § 240 StGB;62,566;34.3;28.2;16.4;20.2;0.9
232201;Nötigung im Straßenverkehr § 240 Abs. 1 StGB;32,278;37.9;28.8;16;17.1;0.2
232279;Sonstige Nötigung § 240 Abs. 1 und 4 StGB;30,288;30.5;27.7;16.7;23.5;1.7
232300;Bedrohung § 241 StGB;166,065;26.7;30.4;19.4;22;1.6
232400;Nachstellung (Stalking) § 238 StGB;21,436;26.1;30.1;19.1;22.3;2.4
232410;Nachstellung (Stalking) § 238, Abs. 1 StGB;21,106;26.1;30.1;19;22.4;2.4
232420;Nachstellung (Stalking) § 238, Abs. 2 StGB;328;30.2;27.7;24.7;15.9;1.5
232430;Nachstellung (Stalking) § 238, Abs. 3 StGB;2;0;0;0;100;0
232500;Zwangsheirat § 237 StGB;67;14.9;28.4;25.4;29.9;1.5
233000;Erpresserischer Menschenraub § 239a StGB;80;17.5;20;28.8;33.8;0
233079;Sonstiger erpresserischer Menschenraub;78;17.9;19.2;28.2;34.6;0
233100;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;2;0;50;50;0;0
233200;Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;0;-;-;-;-;-
233300;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;0;-;-;-;-;-
234000;Geiselnahme § 239b StGB;27;22.2;40.7;18.5;18.5;0
234079;Sonstige Geiselnahme;27;22.2;40.7;18.5;18.5;0
234100;Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;0;-;-;-;-;-
234200;Geiselnahme i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;0;-;-;-;-;-
234300;Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;0;-;-;-;-;-
